<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AUDUSD,D,20221017,000000,0.6221500,0.6312000,0.6206000,0.6296000,2397118
AUDUSD,D,20221018,000000,0.6296900,0.6339800,0.6263000,0.6314600,2667861
AUDUSD,D,20221019,000000,0.6314600,0.6324300,0.6247000,0.6263000,2495661
AUDUSD,D,20221020,000000,0.6263500,0.6356100,0.6225000,0.6273400,2625585
AUDUSD,D,20221021,000000,0.6274100,0.6392900,0.6207000,0.6380500,2963365
AUDUSD,D,20221023,000000,0.6377000,0.6411300,0.6352000,0.6368400,342688
AUDUSD,D,20221024,000000,0.6368700,0.6376600,0.6269000,0.6327400,3149968
AUDUSD,D,20221025,000000,0.6327300,0.6412200,0.6300000,0.6383800,2424557
AUDUSD,D,20221026,000000,0.6383800,0.6511100,0.6369000,0.6495800,2689375
AUDUSD,D,20221027,000000,0.6495300,0.6522100,0.6422000,0.6450100,2760464
AUDUSD,D,20221028,000000,0.6450100,0.6479800,0.6385000,0.6409000,2349890
AUDUSD,D,20221030,000000,0.6411000,0.6414000,0.6385000,0.6400500,143666
AUDUSD,D,20221031,000000,0.6400400,0.6428000,0.6364000,0.6409200,2054380
AUDUSD,D,20221101,000000,0.6409200,0.6463900,0.6373000,0.6395600,2534496
AUDUSD,D,20221102,000000,0.6395000,0.6492400,0.6328000,0.6337200,2661746
AUDUSD,D,20221103,000000,0.6337500,0.6372100,0.6268000,0.6287300,2480948
AUDUSD,D,20221104,000000,0.6287600,0.6483000,0.6281000,0.6468100,2791772
